0:0:0:0:0:0:0:1 - - [03/May/2021:18:51:00 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 200 4918
0:0:0:0:0:0:0:1 - - [03/May/2021:18:51:00 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [03/May/2021:18:51:00 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 82
0:0:0:0:0:0:0:1 - - [03/May/2021:18:51:00 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [03/May/2021:18:51:26 -0300] "POST /ProjetoTrilhaWeb/rest/produto/inserir HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [03/May/2021:18:51:30 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:06 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 200 4919
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:07 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:07 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:07 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:07 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 82
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:07 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:07 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:07 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:07 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:07 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:07 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:07 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:07 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:07 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:07 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:07 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:07 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:07 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:07 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:07 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:07 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:07 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:07 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:07 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:07 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:07 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:07 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:07 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:07 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:07 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:07 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:07 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:08 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:08 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:08 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:08 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:08 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:08 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:08 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:08 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:08 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:08 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:08 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:08 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:08 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:08 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:08 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:08 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:08 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:08 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:08 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:08 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:08 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:08 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:08 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:08 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:08 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:08 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:08 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:08 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:08 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/May/2021:18:52:08 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 621
